agenda-php  | [09-Apr-2026 23:33:32] NOTICE: fpm is running, pid 1
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:47:55 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:48:10 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:48:25 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:48:40 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:48:55 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:49:10 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:49:25 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:49:40 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:49:55 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:50:10 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:50:25 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:50:41 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:50:56 +0000 "GET /index.php" 200
